date,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2015-12-19,0.170541667,0.229333333,0.216958333,0.176541667,0.200375,0.183041667,0.207458333,0.226166667,0.218583333,0.2325,0.225333333,0.179375,0.237041667,0.227875,0.159958333,0.20075,0.207916667,0.217916667
2015-12-20,0.165708333,0.225,0.21075,0.1725,0.194666667,0.177208333,0.203958333,0.218125,0.211125,0.228625,0.219,0.173375,0.229041667,0.221166667,0.155541667,0.195625,0.2025,0.213041667
2015-12-21,0.162916667,0.222083333,0.206875,0.171,0.191625,0.17325,0.196583333,0.213625,0.202833333,0.226791667,0.216416667,0.170041667,0.224458333,0.216416667,0.153,0.188708333,0.200041667,0.209666667
2015-12-22,0.178916667,0.23625,0.219416667,0.183333333,0.208791667,0.177416667,0.206458333,0.232583333,0.213541667,0.23525,0.234958333,0.181958333,0.257083333,0.236208333,0.162666667,0.195208333,0.214458333,0.218875
2015-12-23,0.185541667,0.240291667,0.227875,0.187458333,0.216208333,0.186541667,0.212875,0.243541667,0.223416667,0.241833333,0.242541667,0.193,0.255208333,0.245208333,0.169,0.202791667,0.2225,0.232125
2015-12-24,0.207708333,0.26225,0.260125,0.210041667,0.251541667,0.212125,0.248166667,0.272458333,0.256291667,0.269041667,0.277791667,0.221708333,0.287791667,0.292375,0.195041667,0.232041667,0.245708333,0.282583333
2015-12-25,0.183,0.239125,0.232,0.18925,0.217708333,0.190333333,0.219416667,0.239708333,0.226375,0.248083333,0.242083333,0.192041667,0.249416667,0.244583333,0.173208333,0.205041667,0.2195,0.2395
2015-12-26,0.174541667,0.231708333,0.221041667,0.181625,0.207208333,0.181375,0.212291667,0.228375,0.215125,0.240791667,0.230583333,0.182166667,0.235875,0.230958333,0.164833333,0.196833333,0.211708333,0.226375
2015-12-27,0.189625,0.248708333,0.233958333,0.194208333,0.223375,0.191333333,0.226083333,0.250291667,0.235375,0.249625,0.255666667,0.197166667,0.275375,0.250583333,0.176708333,0.21275,0.228916667,0.234791667
2015-12-28,0.180125,0.238291667,0.225958333,0.185708333,0.214166667,0.187875,0.216083333,0.238416667,0.225416667,0.245125,0.2415,0.189041667,0.250666667,0.239291667,0.169833333,0.203625,0.218416667,0.228875
2015-12-29,0.172541667,0.231666667,0.216625,0.179083333,0.205416667,0.181666667,0.210333333,0.227375,0.21425,0.23925,0.229625,0.180208333,0.235375,0.2285,0.163041667,0.196208333,0.209166667,0.222125
2015-12-30,0.169041667,0.227958333,0.211625,0.175958333,0.200583333,0.177708333,0.207,0.221875,0.208791667,0.237,0.224,0.177041667,0.227708333,0.221666667,0.160375,0.191875,0.205375,0.216958333
2015-12-31,0.168,0.225458333,0.241666667,0.175791667,0.219916667,0.173875,0.2065,0.227125,0.210541667,0.237166667,0.228166667,0.173166667,0.26825,0.243083333,0.156875,0.192958333,0.204,0.214416667
2016-01-01,0.166541667,0.225666667,0.247583333,0.176583333,0.220208333,0.171625,0.2105,0.23,0.211208333,0.237791667,0.230625,0.169958333,0.26875,0.248458333,0.155416667,0.193875,0.20475,0.213875
2016-01-02,0.166166667,0.224625,0.221041667,0.173666667,0.206541667,0.170583333,0.208791667,0.230541667,0.208458333,0.236,0.227,0.168125,0.242958333,0.232541667,0.154833333,0.194125,0.202916667,0.211083333
2016-01-03,0.169708333,0.222958333,0.20925,0.171166667,0.198708333,0.169208333,0.206166667,0.227833333,0.202583333,0.234041667,0.223083333,0.167625,0.229041667,0.22175,0.153416667,0.195,0.200541667,0.20825
2016-01-04,0.1695,0.220541667,0.203666667,0.167791667,0.192791667,0.165041667,0.202833333,0.224916667,0.198416667,0.230833333,0.219041667,0.1665,0.219416667,0.213791667,0.151791667,0.194,0.196791667,0.205291667
2016-01-05,0.162333333,0.211708333,0.193083333,0.157333333,0.182416667,0.156083333,0.194541667,0.217916667,0.191208333,0.221,0.20625,0.162583333,0.205958333,0.2025,0.148583333,0.185416667,0.186916667,0.19675
2016-01-06,0.161375,0.204708333,0.186125,0.153666667,0.176291667,0.157875,0.189166667,0.216333333,0.184458333,0.217,0.198833333,0.161666667,0.198791667,0.198208333,0.147208333,0.1845,0.180666667,0.191625
2016-01-07,0.161916667,0.202291667,0.183375,0.153083333,0.17375,0.158541667,0.187708333,0.214708333,0.180541667,0.215791667,0.196083333,0.161333333,0.194583333,0.19525,0.146208333,0.183833333,0.177666667,0.188333333
2016-01-08,0.1665,0.201708333,0.182333333,0.153333333,0.173375,0.157166667,0.187541667,0.213916667,0.179125,0.215625,0.194916667,0.160875,0.193291667,0.19325,0.1455,0.18475,0.176666667,0.185958333
2016-01-09,0.185291667,0.207833333,0.186041667,0.156791667,0.177791667,0.15775,0.192083333,0.22375,0.182208333,0.22025,0.200291667,0.164083333,0.200083333,0.195583333,0.146708333,0.198,0.179458333,0.18675
2016-01-10,0.20575,0.217166667,0.23475,0.174416667,0.297875,0.196875,0.253166667,0.2595,0.212625,0.261833333,0.220083333,0.210333333,0.301208333,0.3125,0.174958333,0.2245,0.19075,0.228583333
2016-01-11,0.195958333,0.231125,0.253416667,0.1915,0.271583333,0.199,0.248125,0.257166667,0.239208333,0.270916667,0.243916667,0.205708333,0.280833333,0.286,0.181625,0.21825,0.21625,0.252666667
2016-01-12,0.182208333,0.220708333,0.225125,0.173666667,0.2215,0.180583333,0.221833333,0.239291667,0.214625,0.245125,0.222208333,0.188666667,0.239916667,0.239916667,0.168916667,0.204791667,0.201458333,0.2255
2016-01-13,0.177125,0.218458333,0.216208333,0.16925,0.209458333,0.17525,0.215916667,0.233125,0.207333333,0.239166667,0.216833333,0.183291667,0.22575,0.226125,0.163583333,0.200458333,0.196583333,0.214291667
