Year,Jday,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2020,175,0.082416667,0.109875,0.087916667,0.100916667,0.127291667,0.146458333,0.131916667,0.155375,0.10725,0.15375,0.13125,0.112625,0.102916667,0.138625,0.113083333,0.126125,0.070125,0.07575
2020,176,0.08025,0.104208333,0.084125,0.097125,0.123833333,0.144125,0.126375,0.151125,0.103958333,0.149083333,0.127208333,0.109791667,0.098666667,0.136,0.111333333,0.123791667,0.068583333,0.073333333
2020,177,0.0775,0.097958333,0.080875,0.092833333,0.11975,0.141125,0.120458333,0.146791667,0.100166667,0.143666667,0.122916667,0.106125,0.094166667,0.132791667,0.109291667,0.121166667,0.066875,0.071125
2020,178,0.073833333,0.091583333,0.077083333,0.088041667,0.115083333,0.137583333,0.11325,0.141958333,0.095916667,0.137416667,0.117916667,0.101666667,0.089958333,0.129666667,0.10725,0.118583333,0.065125,0.068958333
2020,179,0.072458333,0.087666667,0.074916667,0.084583333,0.110958333,0.135291667,0.108291667,0.137875,0.093,0.132125,0.113916667,0.099,0.087458333,0.127416667,0.105708333,0.115958333,0.064083333,0.067291667
2020,180,0.072458333,0.086875,0.074458333,0.083833333,0.109791667,0.13425,0.106708333,0.135416667,0.092041667,0.130916667,0.112541667,0.098291667,0.086916667,0.126125,0.1055,0.114375,0.064,0.066708333
2020,181,0.074125,0.086,0.074,0.083,0.109291667,0.1345,0.108583333,0.133958333,0.092,0.131458333,0.113208333,0.098125,0.086916667,0.127583333,0.106125,0.115333333,0.06425,0.066875
2020,182,0.089416667,0.102583333,0.081375,0.094625,0.126,0.143125,0.127125,0.155583333,0.130875,0.160916667,0.13475,0.107666667,0.116125,0.156708333,0.116291667,0.136666667,0.072083333,0.086041667
2020,183,0.128125,0.1645,0.144083333,0.132208333,0.169416667,0.179458333,0.175833333,0.219208333,0.186708333,0.215333333,0.189083333,0.164291667,0.198791667,0.20525,0.150583333,0.175958333,0.105708333,0.168666667
2020,184,0.127625,0.150458333,0.143708333,0.125083333,0.156,0.172291667,0.1635,0.201125,0.164958333,0.196041667,0.176208333,0.153833333,0.180708333,0.189916667,0.143916667,0.165875,0.100791667,0.157041667
2020,185,0.121083333,0.141291667,0.135958333,0.118875,0.146791667,0.16925,0.153791667,0.190666667,0.154916667,0.186166667,0.166916667,0.147083333,0.167333333,0.181958333,0.139125,0.1605,0.09725,0.142083333
2020,186,0.113708333,0.13225,0.128291667,0.113791667,0.140291667,0.163291667,0.144375,0.182916667,0.143833333,0.177166667,0.158291667,0.141333333,0.155666667,0.172583333,0.133625,0.153916667,0.090958333,0.130916667
2020,187,0.103958333,0.120916667,0.117208333,0.107291667,0.132625,0.157791667,0.133916667,0.174416667,0.134125,0.167708333,0.148833333,0.133416667,0.142041667,0.164291667,0.128375,0.147625,0.083125,0.118333333
2020,188,0.09525,0.110166667,0.10675,0.100625,0.124916667,0.15275,0.123958333,0.16625,0.125291667,0.15825,0.1395,0.125708333,0.128625,0.157291667,0.123666667,0.14225,0.076333333,0.106041667
2020,189,0.08925,0.102416667,0.098583333,0.09525,0.11875,0.148375,0.11675,0.159458333,0.118666667,0.150458333,0.132125,0.119375,0.119375,0.151625,0.120166667,0.13725,0.071666667,0.096875
2020,190,0.086375,0.098333333,0.094291667,0.092625,0.115333333,0.145208333,0.113083333,0.153958333,0.11525,0.145875,0.127833333,0.1165,0.114916667,0.1475,0.117083333,0.133125,0.07,0.091875
2020,191,0.083375,0.094625,0.090583333,0.090166667,0.112791667,0.142416667,0.109541667,0.149166667,0.114625,0.141791667,0.12425,0.113541667,0.110041667,0.144375,0.114541667,0.130125,0.06875,0.088666667
2020,192,0.080416667,0.095708333,0.086208333,0.088458333,0.113291667,0.139958333,0.107916667,0.14525,0.125875,0.149541667,0.122541667,0.108791667,0.103666667,0.147958333,0.112375,0.131833333,0.066916667,0.085
2020,193,0.111583333,0.112416667,0.120458333,0.105833333,0.149416667,0.185,0.160125,0.17275,0.184708333,0.205791667,0.152708333,0.132916667,0.18875,0.192,0.130708333,0.157416667,0.094583333,0.093208333
2020,194,0.108875,0.114583333,0.126458333,0.110041667,0.144083333,0.168666667,0.153333333,0.17225,0.160916667,0.185625,0.159041667,0.135,0.17425,0.177958333,0.127583333,0.152208333,0.093,0.089333333
2020,195,0.098458333,0.109416667,0.115291667,0.104916667,0.130458333,0.1565,0.136916667,0.163166667,0.141916667,0.169166667,0.147958333,0.127291667,0.153125,0.165708333,0.120375,0.144166667,0.083416667,0.083958333
2020,196,0.09075,0.107458333,0.105083333,0.099041667,0.120791667,0.149291667,0.125791667,0.156,0.136208333,0.157791667,0.141,0.120541667,0.139625,0.157833333,0.116833333,0.138541667,0.077166667,0.081291667
2020,197,0.086416667,0.107458333,0.09975,0.095208333,0.116,0.146375,0.120583333,0.1505,0.133791667,0.150875,0.137625,0.118,0.134333333,0.154291667,0.117208333,0.13575,0.074833333,0.080166667
2020,198,0.082125,0.099916667,0.09325,0.090708333,0.110583333,0.141666667,0.113625,0.144333333,0.124458333,0.143083333,0.130208333,0.112875,0.123541667,0.147833333,0.113375,0.130291667,0.071208333,0.077
2020,199,0.096041667,0.126166667,0.118833333,0.105625,0.145583333,0.165125,0.149,0.158208333,0.16775,0.185291667,0.153083333,0.137833333,0.1655,0.188416667,0.127291667,0.151291667,0.0845,0.084833333
2020,200,0.095875,0.128833333,0.126041667,0.108625,0.141125,0.159,0.147125,0.164583333,0.153125,0.17925,0.157375,0.140791667,0.163541667,0.178541667,0.127083333,0.151166667,0.088,0.084333333
2020,201,0.085958333,0.115583333,0.111291667,0.100333333,0.126291667,0.147541667,0.129708333,0.156041667,0.135666667,0.161166667,0.144208333,0.1285,0.14075,0.164208333,0.119416667,0.143791667,0.079,0.079458333
2020,202,0.078916667,0.103041667,0.098333333,0.092625,0.114833333,0.139708333,0.116625,0.14775,0.123333333,0.14725,0.132458333,0.118,0.122916667,0.154208333,0.113625,0.1375,0.071625,0.07575
2020,203,0.073625,0.0925,0.087833333,0.085458333,0.104958333,0.133291667,0.105125,0.139875,0.113166667,0.1355,0.121333333,0.109041667,0.108125,0.145833333,0.108791667,0.131875,0.067,0.071833333
2020,204,0.081666667,0.102083333,0.096708333,0.094166667,0.114333333,0.143458333,0.117125,0.148541667,0.138083333,0.154125,0.120916667,0.111916667,0.129541667,0.164875,0.11375,0.150625,0.07025,0.078625
2020,205,0.161583333,0.20475,0.203833333,0.178625,0.191958333,0.207708333,0.207916667,0.249041667,0.236708333,0.245416667,0.197541667,0.192625,0.25375,0.24875,0.1725,0.225041667,0.141583333,0.187041667
2020,206,0.161541667,0.184375,0.182958333,0.160583333,0.1735,0.191541667,0.182666667,0.226041667,0.199,0.223708333,0.19425,0.177583333,0.218166667,0.219416667,0.162375,0.195833333,0.142,0.180791667
2020,207,0.141708333,0.163291667,0.158,0.140791667,0.154958333,0.176916667,0.159791667,0.203625,0.170166667,0.201291667,0.177666667,0.161041667,0.188583333,0.198,0.150208333,0.176416667,0.126166667,0.162125
2020,208,0.126,0.147875,0.139291667,0.1275,0.141208333,0.169083333,0.143958333,0.18925,0.1525,0.18525,0.163458333,0.149625,0.1665,0.18525,0.142583333,0.165208333,0.112458333,0.14625
2020,209,0.112541667,0.134208333,0.1235,0.116625,0.129541667,0.162375,0.130708333,0.177833333,0.139208333,0.171708333,0.151041667,0.14,0.147125,0.175166667,0.136791667,0.156625,0.099916667,0.131041667
2020,210,0.101333333,0.122041667,0.111041667,0.1075,0.11925,0.156916667,0.119916667,0.168416667,0.128125,0.16,0.140125,0.131708333,0.130916667,0.1665,0.1315,0.150666667,0.089375,0.117666667
2020,211,0.092791667,0.110833333,0.100708333,0.099041667,0.10975,0.151708333,0.110458333,0.16,0.118708333,0.14925,0.130083333,0.123458333,0.11625,0.159333333,0.127291667,0.14525,0.080583333,0.10575
2020,212,0.093291667,0.124125,0.094875,0.096,0.109791667,0.147208333,0.10975,0.157333333,0.14475,0.159791667,0.124458333,0.122416667,0.111375,0.164333333,0.126208333,0.146916667,0.076541667,0.1025
2020,213,0.092875,0.130208333,0.095041667,0.100583333,0.119333333,0.147333333,0.119583333,0.1625,0.146041667,0.176208333,0.126625,0.133208333,0.122375,0.173541667,0.13125,0.151541667,0.077541667,0.105916667
2020,214,0.083416667,0.112833333,0.088375,0.092291667,0.108083333,0.141916667,0.107416667,0.151458333,0.12675,0.153208333,0.119625,0.121958333,0.108958333,0.159541667,0.123541667,0.144333333,0.071916667,0.095083333
2020,215,0.0855,0.12325,0.093416667,0.091625,0.107375,0.155375,0.113,0.157916667,0.144583333,0.167083333,0.117833333,0.121458333,0.123875,0.174583333,0.123625,0.157208333,0.076458333,0.09
2020,216,0.092375,0.14675,0.116208333,0.106041667,0.118375,0.1575,0.132,0.174,0.154833333,0.185958333,0.126666667,0.133958333,0.161958333,0.185625,0.129375,0.16925,0.087208333,0.093708333
2020,217,0.088375,0.132833333,0.1065,0.101708333,0.111416667,0.148875,0.1215,0.16225,0.141916667,0.167625,0.125708333,0.127,0.146875,0.172458333,0.123791667,0.158541667,0.081375,0.090041667
2020,218,0.088333333,0.130916667,0.103541667,0.100625,0.108083333,0.151958333,0.121833333,0.159333333,0.141041667,0.167083333,0.129125,0.125875,0.149291667,0.172,0.12325,0.155958333,0.084541667,0.087916667
2020,219,0.080125,0.113625,0.092958333,0.092458333,0.09925,0.142,0.111791667,0.150333333,0.125791667,0.15175,0.120583333,0.117375,0.13125,0.1595,0.117958333,0.147625,0.076125,0.082458333
2020,220,0.0745,0.099375,0.084875,0.08525,0.090791667,0.135333333,0.102375,0.141916667,0.11475,0.139166667,0.111958333,0.109583333,0.115583333,0.150083333,0.1135,0.140833333,0.07025,0.0775
2020,221,0.070208333,0.08925,0.078583333,0.079541667,0.084083333,0.129708333,0.094458333,0.135083333,0.105875,0.128833333,0.1045,0.102041667,0.102916667,0.142833333,0.109625,0.134916667,0.066625,0.073375
2020,222,0.066708333,0.0815,0.07325,0.074375,0.077791667,0.124125,0.087166667,0.128541667,0.097666667,0.118833333,0.097125,0.095041667,0.092291667,0.135666667,0.105708333,0.129166667,0.063666667,0.069708333
2020,223,0.063708333,0.076083333,0.068708333,0.070333333,0.072041667,0.118958333,0.080708333,0.122625,0.089875,0.109541667,0.090166667,0.088666667,0.08425,0.128916667,0.101875,0.124083333,0.061208333,0.066541667
2020,224,0.061,0.071666667,0.064916667,0.066708333,0.066958333,0.1135,0.075416667,0.117166667,0.082458333,0.100208333,0.083333333,0.083125,0.078166667,0.1225,0.098375,0.119166667,0.05925,0.063541667
2020,225,0.059083333,0.068458333,0.06225,0.064041667,0.062916667,0.10825,0.071666667,0.11225,0.076208333,0.092083333,0.077375,0.078625,0.073875,0.116666667,0.09475,0.115166667,0.057833333,0.061125
2020,226,0.057083333,0.0655,0.060125,0.06175,0.059458333,0.102708333,0.06875,0.107333333,0.070541667,0.085333333,0.072,0.074708333,0.071,0.110791667,0.091166667,0.110375,0.056166667,0.059041667
2020,227,0.055541667,0.063125,0.058541667,0.060041667,0.056666667,0.097916667,0.066375,0.101125,0.066291667,0.080208333,0.06775,0.071708333,0.068666667,0.105375,0.087291667,0.106083333,0.054916667,0.057458333
2020,228,0.055,0.06175,0.057541667,0.059,0.05475,0.094166667,0.065,0.097125,0.063583333,0.077208333,0.064708333,0.069708333,0.067,0.100833333,0.084166667,0.1025,0.054125,0.056291667
2020,229,0.055,0.061583333,0.057,0.059,0.054666667,0.092583333,0.065,0.094666667,0.063,0.076666667,0.064083333,0.069041667,0.067041667,0.098583333,0.082958333,0.100541667,0.054041667,0.056
2020,230,0.0545,0.060583333,0.056666667,0.0585,0.053916667,0.090125,0.064583333,0.092083333,0.061583333,0.075291667,0.063125,0.068625,0.066666667,0.096041667,0.081458333,0.098625,0.054,0.055625
2020,231,0.053416667,0.059583333,0.055875,0.0575,0.052666667,0.085958333,0.06325,0.089458333,0.059666667,0.0735,0.061166667,0.067583333,0.065541667,0.092833333,0.078541667,0.095791667,0.053583333,0.054708333
